"","CPO_Mock_72hpi_S1","CPO_Mock_72hpi_S2","CPO_Mock_72hpi_S3","CPO_SARS-CoV-2_24hpi_S4","CPO_SARS-CoV-2_24hpi_S5","CPO_SARS-CoV-2_24hpi_S6","CPO_SARS-CoV-2_72hpi_S7","CPO_SARS-CoV-2_72hpi_S8","CPO_SARS-CoV-2_72hpi_S9"
"LOC100287934",34,23,29,26,30,31,12,16,32
"LINC01128",155,179,112,53,198,212,208,104,172
"NOC2L",30,14,9,11,18,25,37,34,38
"AGRN",25,31,19,11,42,26,46,32,40
"LOC100288175",41,22,14,19,45,39,41,22,38
"SDF4",45,62,25,23,46,39,63,49,42
"B3GALT6",29,24,23,22,23,33,43,34,16
"UBE2J2",29,18,15,11,14,41,22,9,31
"CPSF3L",80,63,44,23,75,52,71,46,71
"MXRA8",56,52,28,25,55,65,101,68,33
"AURKAIP1",50,33,39,23,45,31,55,28,37
"CCNL2",470,449,267,183,301,292,569,294,443
"MRPL20",1738,1618,1432,1037,1627,1760,2273,1446,1743
"SSU72",684,703,554,323,663,674,940,579,707
"CDK11B",88,101,43,33,51,74,82,48,41
"SLC35E2B",435,419,313,240,352,437,482,263,338
"CDK11A",93,123,77,60,99,114,138,84,101
"SLC35E2",272,230,222,114,176,243,261,161,185
"NADK",41,23,17,15,15,19,48,25,27
"GNB1",2277,2299,1799,1418,2463,3085,4030,2266,2641
"PRKCZ",20,22,19,15,44,35,36,23,12
"SKI",34,45,31,14,42,38,46,20,22
"RER1",173,160,130,92,185,157,223,162,179
"PANK4",42,43,23,27,33,33,47,30,30
"FAM213B",31,18,21,10,12,27,18,24,31
"LINC00982",117,104,72,41,58,34,34,24,28
"PRDM16",175,125,151,52,67,77,111,86,100
"MEGF6",24,12,11,20,13,28,29,17,23
"TPRG1L",123,130,115,59,122,155,110,77,82
"WRAP73",32,47,26,20,52,58,37,38,31
"TP73-AS1",188,185,173,90,169,201,215,140,208
"LRRC47",244,218,189,144,232,270,317,180,203
"CEP104",399,359,350,164,328,504,401,221,337
"DFFB",75,48,57,18,63,74,76,55,63
"C1orf174",754,664,615,418,720,847,848,528,599
"AJAP1",58,46,44,31,47,36,71,41,52
"NPHP4",69,50,30,37,28,59,74,26,44
"RPL22",3680,3434,2972,1670,3282,3360,3527,2106,2822
"RNF207",69,39,38,20,28,28,35,20,13
"ICMT",278,179,184,100,153,162,359,161,193
"ACOT7",37,37,29,45,48,53,176,104,88
"NOL9",240,242,212,182,261,315,385,217,295
"KLHL21",126,138,98,101,147,150,227,97,123
"PHF13",79,61,47,27,75,91,68,55,70
"THAP3",52,50,44,12,31,20,71,32,47
"DNAJC11",92,118,100,76,118,133,191,110,140
"CAMTA1",1999,1870,1568,1392,2061,2807,2787,1655,1677
"VAMP3",1970,2114,1856,1545,2431,2754,2937,1650,2439
"PER3",537,469,298,169,252,300,441,132,214
"TNFRSF9",0,14,1,33,38,63,130,81,25
"PARK7",5810,5961,4808,3854,6404,6759,8582,5740,6378
"ERRFI1",928,794,722,2001,2700,3323,4440,2291,2652
"RERE",803,693,504,422,700,786,987,449,608
"ENO1",20338,28556,23143,21876,47385,44907,45638,27538,34977
"SLC2A5",48,44,23,32,59,18,67,41,70
"LOC102724571",112,103,95,56,77,102,142,80,109
"H6PD",482,448,325,235,364,474,508,337,481
"SLC25A33",39,50,43,26,69,116,50,52,52
"TMEM201",25,32,16,12,18,19,34,23,21
"PIK3CD",34,55,31,37,44,72,125,61,56
"CLSTN1",304,344,234,161,277,365,316,232,213
"CTNNBIP1",46,37,41,38,42,54,117,55,34
"LZIC",1290,1237,1183,925,1434,1541,1705,937,1304
"NMNAT1",480,466,425,292,458,583,605,435,468
"RBP7",21,42,24,40,66,51,29,26,50
"UBE4B",1410,1429,1282,1129,1486,1910,2374,1277,1750
"KIF1B",2812,2327,2208,1927,2992,3805,4113,2232,2739
"PGD",3610,3708,2932,2141,4228,4328,6361,3917,4639
"APITD1",46,23,17,21,39,37,44,25,38
"DFFA",882,857,658,479,899,1004,1462,888,1081
"PEX14",31,30,11,8,17,25,16,18,26
"CASZ1",81,98,82,38,64,54,52,26,56
"TARDBP",7684,8865,8293,6374,11366,12817,12396,7509,9511
"MASP2",181,166,190,86,149,152,132,100,113
"SRM",53,54,47,25,31,49,82,50,53
"EXOSC10",2399,1965,1503,767,1254,1616,2750,1395,1994
"MTOR",515,552,440,333,439,530,710,424,513
"ANGPTL7",56,72,30,22,27,69,75,33,38
"UBIAD1",99,119,67,54,110,103,167,81,98
"FBXO2",19,27,11,15,24,19,39,27,23
"FBXO44",85,121,73,52,120,79,111,70,81
"FBXO6",26,34,22,17,19,23,18,16,27
"MAD2L2",78,68,50,24,100,57,88,47,38
"AGTRAP",124,142,64,54,90,87,215,106,142
"MTHFR",438,390,304,256,361,414,531,235,413
"CLCN6",100,140,90,56,139,121,134,78,123
"NPPB",3,17,9,12,43,60,82,64,50
"KIAA2013",69,60,43,24,53,50,86,42,54
"PLOD1",351,319,219,97,203,185,355,200,265
"MFN2",276,279,210,115,274,275,314,176,234
"VPS13D",727,736,492,364,574,570,598,370,573
"DHRS3",243,281,195,74,108,116,131,88,164
"C1orf158",313,205,187,104,138,173,162,115,169
"PDPN",571,522,467,373,483,552,647,402,507
"PRDM2",830,736,643,631,825,1098,1135,712,807
"KAZN",261,330,248,171,371,377,362,273,307
"TMEM51",25,21,16,14,31,36,35,19,25
"FHAD1",292,243,170,87,110,212,181,115,157
"CASP9",122,110,62,44,70,102,100,31,76
"DNAJC16",1570,1384,1173,840,975,1288,2549,1224,1462
"RSC1A1",25,30,28,22,43,56,39,16,24
"PLEKHM2",25,16,13,6,30,17,31,20,28
"FBLIM1",27,30,12,29,46,77,120,62,53
"UQCRHL",129,142,116,90,134,156,122,49,84
"FLJ37453",42,64,32,20,38,38,43,19,22
"SPEN",883,755,675,482,852,863,935,547,635
"EPHA2",97,92,43,56,138,137,239,155,137
"FBXO42",1080,1032,892,680,1395,1410,1063,732,946
"SZRD1",39,38,28,18,23,28,72,35,62
"NECAP2",218,187,140,130,200,281,355,147,273
"CROCCP3",215,237,230,157,220,290,298,127,191
"NBPF1",24,38,25,19,31,29,44,17,33
"CROCCP2",37,55,43,17,42,50,52,24,36
"MFAP2",188,140,136,117,145,160,258,163,159
"SDHB",1156,1102,844,497,826,921,1177,718,980
"RCC2",444,481,412,384,628,704,686,600,755
"IGSF21",64,61,41,14,39,35,59,29,37
"UBR4",1320,1353,993,723,1317,1406,1749,949,1327
"LOC101927895",26,31,23,13,19,12,43,17,27
"EMC1",1331,1452,1102,831,1331,1481,2042,1393,1788
"MRTO4",252,257,190,178,254,314,560,338,396
"LOC100506730",550,558,503,492,643,856,676,390,673
"AKR7A2",94,108,49,45,104,127,109,80,100
"CAPZB",522,499,400,343,604,543,842,517,632
"MINOS1",2904,2445,2020,1915,2256,2808,3968,2474,2671
"RPS14P3",116,106,100,42,92,91,127,70,118
"OTUD3",561,862,762,1050,1486,1801,707,509,621
"PLA2G5",33,45,16,12,12,16,35,12,9
"UBXN10-AS1",33,17,29,21,10,30,30,20,21
"UBXN10",1931,1681,1613,872,1172,1582,1595,1106,1508
"VWA5B1",31,65,46,13,34,20,20,23,36
"CAMK2N1",220,251,214,188,361,508,456,277,330
"MUL1",207,191,137,63,136,142,265,139,158
"PINK1-AS",39,60,39,24,30,56,57,41,45
"DDOST",4731,4319,2736,1387,2531,2927,5493,3206,3737
"HP1BP3",3468,3552,3058,2352,3427,3893,4451,2493,3239
"EIF4G3",5268,4990,4707,3085,3689,4452,5274,2794,4010
"NBPF3",105,122,91,46,77,117,87,57,65
"USP48",633,785,584,518,769,725,712,353,620
"LINC00339",332,304,318,210,285,313,314,196,268
"CDC42",3532,3506,2808,2966,4451,5453,5821,3847,4580
"ZBTB40",395,324,366,259,352,467,420,277,393
"EPHB2",72,72,48,39,97,114,217,126,104
"KDM1A",1041,1086,965,846,1227,1666,1646,910,1009
"LUZP1",477,444,374,391,603,796,1023,508,621
"RP5-1057J7.6",2446,1913,1891,2200,2461,3900,2604,829,2009
"HNRNPR",1464,1544,1214,1043,1626,1806,2056,1402,1653
"ZNF436",1189,1091,1178,628,1042,1179,1557,953,1306
"C1orf213",29,28,19,15,28,29,20,8,14
"ASAP3",81,98,49,33,46,54,124,38,70
"ID3",250,199,163,131,185,141,349,239,249
"RPL11",8166,9299,8016,4956,9700,8738,9866,5947,7489
"TCEB3",1233,1188,973,741,1213,1496,1628,1014,1168
"RP5-886K2.3",84,73,81,36,66,74,72,46,43
"PITHD1",138,135,105,70,156,177,171,89,129
"LYPLA2",55,41,30,18,38,46,74,46,82
"GALE",32,23,17,15,24,37,42,29,37
"HMGCL",2773,2837,2287,1605,2904,3010,3097,1864,2730
"FUCA1",174,230,191,107,173,220,186,97,132
"PNRC2",5764,4738,5158,3388,4816,5923,7118,3871,4940
"SRSF10",5884,5017,4562,3935,5651,7143,7684,4362,5813
"STPG1",479,454,351,161,269,354,394,249,422
"NIPAL3",827,925,796,484,906,883,1173,647,928
"RCAN3",81,112,81,48,71,99,83,71,106
"LOC100506985",101,85,82,100,105,113,257,98,214
"SRRM1",6014,6528,5140,3894,6119,7282,8079,4613,6343
"CLIC4",1602,1493,1302,2056,2983,3453,6396,3146,4083
"SYF2",936,953,855,594,1002,1135,1037,591,830
"C1orf63",848,719,551,363,467,548,715,310,526
"RHD",35,18,21,29,14,28,17,15,12
"TMEM50A",599,593,558,429,730,690,941,560,751
"TMEM57",214,168,193,133,244,239,362,158,218
"LDLRAP1",84,73,75,53,86,89,93,55,82
"MAN1C1",242,214,189,110,155,180,162,123,164
"SEPN1",293,316,196,113,173,148,358,189,333
"MTFR1L",2331,2227,1911,1212,2139,2231,2644,1719,2082
"LOC646471",61,64,74,21,44,36,66,29,47
"AUNIP",27,20,31,15,38,38,39,19,12
"PAQR7",34,49,28,39,68,64,58,27,31
"STMN1",9220,9451,8551,7843,13809,15603,19655,11774,11251
"PAFAH2",281,254,198,152,265,296,347,234,254
"PDIK1L",2168,1774,1786,1210,1589,2013,2114,1060,1573
"CEP85",610,508,439,248,516,565,581,363,472
"SH3BGRL3",843,1232,683,648,1223,1328,2459,1630,1783
"UBXN11",73,58,26,9,20,22,47,39,57
"LIN28A",29,41,27,21,23,22,37,13,24
"DHDDS",416,450,365,208,410,432,585,350,411
"HMGN2",1248,1041,797,462,818,911,1272,897,1045
"RPS6KA1",37,31,28,24,43,28,54,31,48
"ARID1A",1969,1774,1563,1336,1649,2072,2344,1442,1708
"PIGV",309,266,273,166,211,221,327,167,235
"ZDHHC18",33,23,13,11,17,18,35,30,24
"GPN2",14,23,13,17,21,17,24,21,24
"GPATCH3",34,25,16,6,17,25,32,16,31
"NUDC",150,163,115,101,142,178,287,156,156
"TRNP1",18,21,12,11,35,34,54,17,20
"SLC9A1",24,24,20,21,36,37,25,27,29
"WDTC1",53,50,36,37,45,34,61,45,55
"TMEM222",188,170,94,44,123,119,259,144,179
"LOC644961",85,60,59,69,97,108,84,72,80
"WASF2",358,382,267,179,360,333,481,275,357
"AHDC1",82,75,49,36,60,82,59,61,54
"IFI6",226,159,117,44,99,49,101,48,62
"FAM76A",2561,2323,2119,1562,1945,2666,3133,1595,2171
"STX12",2968,2678,2508,1793,2820,3301,3655,2220,2572
"PPP1R8",398,402,287,201,366,521,501,360,504
"RPA2",4680,4462,3954,2284,3785,4119,4909,2747,3656
"SMPDL3B",82,60,45,26,30,45,63,41,102
"EYA3",1676,1525,1390,1167,1626,1912,2043,1296,1610
"PTAFR",10,20,23,48,55,73,102,51,42
"DNAJC8",5464,5021,4832,3638,5917,6479,8166,5176,6107
"ATPIF1",825,740,570,447,583,706,981,564,720
"SESN2",115,94,78,46,99,122,159,85,106
"MED18",260,208,137,187,279,363,449,254,402
"PHACTR4",1284,1335,1208,1363,2653,2390,2385,1565,2140
"SNHG3",471,533,440,505,906,1020,1072,610,787
"RCC1",64,69,46,41,64,78,108,66,85
"TRNAU1AP",391,467,392,283,511,483,601,378,415
"SNHG12",37,34,33,38,56,57,66,38,29
"TAF12",1236,1249,1170,945,1447,1597,1650,1032,1355
"GMEB1",155,147,141,113,210,157,281,163,212
"YTHDF2",1633,1561,1460,1140,1933,2257,2591,1405,1746
"EPB41",119,136,100,75,131,182,136,73,89
"SRSF4",396,395,325,236,408,482,456,307,357
"MECR",98,81,80,48,61,83,161,87,115
"PTPRU",54,64,32,42,41,64,72,61,69
"SDC3",71,116,59,82,109,112,152,117,87
"PUM1",8992,8956,7831,6006,10091,11155,12032,7388,9826
"SNRNP40",327,264,312,239,399,354,394,222,338
"ZCCHC17",1790,1681,1628,1291,2148,2274,2541,1502,1875
"FABP3",38,30,34,13,38,43,47,32,45
"SERINC2",15,36,15,16,35,41,42,34,32
"PEF1",387,413,312,198,415,462,567,412,455
"BAI2",24,26,19,5,17,10,17,19,20
"SPOCD1",12,19,16,35,39,67,91,51,45
"PTP4A2",1702,1814,1546,1686,2768,2989,3472,1954,2298
"KHDRBS1",1051,1004,964,806,1195,1508,1683,917,1144
"TMEM39B",86,73,35,26,49,88,55,45,62
"KPNA6",4583,4473,4020,2866,4739,5500,6337,3933,4709
"TXLNA",637,585,463,275,464,558,689,415,562
"CCDC28B",128,99,68,33,46,44,86,55,74
"IQCC",173,127,105,44,97,119,119,96,143
"TMEM234",52,67,28,20,51,49,68,51,47
"EIF3I",6036,6764,5925,4609,8585,8604,10067,6741,8137
"HDAC1",1215,1425,1211,669,1257,1529,1438,1001,1246
"MARCKSL1",248,284,285,210,321,399,609,447,353
"BSDC1",407,484,375,215,519,522,489,307,380
"ZBTB8B",35,30,59,24,32,56,48,17,34
"ZBTB8A",213,166,195,158,281,262,268,103,197
"ZBTB8OS",1013,943,857,779,981,1221,1730,1037,1200
"RBBP4",4126,3800,3424,2687,4106,4900,5961,3692,5162
"SYNC",22,8,12,20,29,29,35,31,26
"KIAA1522",249,245,237,152,226,311,329,178,243
"YARS",630,636,568,381,948,937,922,634,725
"S100PBP",1479,1654,1316,930,1503,1827,2207,1113,1460
"FNDC5",275,178,139,80,103,149,139,126,205
"RNF19B",107,117,96,81,107,110,179,91,138
"AK2",395,418,282,231,499,428,475,312,446
"TRIM62",28,31,31,11,35,32,35,27,35
"ZNF362",24,38,22,18,22,51,18,25,26
"PHC2",315,404,259,220,415,352,552,301,410
"ZSCAN20",40,35,33,12,30,26,59,16,71
"CSMD2",25,32,13,18,26,47,56,33,27
"SMIM12",264,251,224,152,227,245,410,244,272
"ZMYM6NB",503,429,348,360,474,489,762,355,480
"ZMYM6",2410,2337,2105,1586,2301,3114,3293,1625,2258
"ZMYM1",1333,1250,1175,1012,1259,1908,1912,863,1443
"SFPQ",7209,5375,5827,3948,5300,7103,7485,3709,5550
"ZMYM4",2474,2464,2137,1750,2548,2867,3434,1729,2572
"KIAA0319L",398,390,260,177,281,306,449,265,305
"NCDN",23,30,21,18,20,28,36,20,24
"PSMB2",3211,3107,2862,2395,3922,4253,5054,3197,3907
"C1orf216",25,24,22,32,53,25,37,33,31
"CLSPN",79,81,96,60,57,133,230,138,83
"AGO4",588,632,567,344,660,699,770,404,672
"AGO1",3512,3028,2801,2134,2731,3654,4709,2812,3336
"AGO3",259,281,207,192,311,334,322,165,215
"TEKT2",274,266,189,100,94,172,175,129,276
"ADPRHL2",213,189,129,80,155,168,191,122,168
"COL8A2",59,50,40,7,34,30,26,23,44
"TRAPPC3",349,334,299,143,292,326,480,327,300
"MAP7D1",109,128,78,96,141,187,282,178,187
"THRAP3",5623,5420,4497,2920,5425,6213,6912,4096,4933
"STK40",33,39,31,23,44,64,82,46,42
"LSM10",215,230,156,104,235,281,346,184,243
"OSCP1",1579,1473,1294,858,1158,1652,1814,1110,1625
"MRPS15",220,235,150,90,245,206,282,203,223
"MEAF6",1930,2027,1598,1147,2246,2323,2689,1608,2222
"SNIP1",187,160,103,130,237,254,260,144,176
"DNALI1",5602,5091,3977,2178,3099,4192,5167,3339,4443
"GNL2",3841,4083,3216,2348,4083,5016,7077,4227,5030
"RSPO1",41,24,17,6,23,44,21,27,20
"C1orf109",333,323,234,153,245,331,410,246,313
"CDCA8",68,89,56,25,77,64,57,41,69
"MANEAL",122,91,97,68,106,155,143,86,94
"YRDC",167,120,135,122,189,159,242,159,181
"C1orf122",129,129,105,62,111,141,136,87,127
"MTF1",578,552,438,318,505,643,554,456,582
"INPP5B",258,305,233,183,363,438,398,239,329
"SF3A3",4253,4488,4239,3045,5096,6235,7264,4292,5083
"UTP11L",2504,2097,1939,1755,2553,3088,4113,2339,2932
"RRAGC",707,705,552,448,763,980,1123,523,791
"AKIRIN1",717,592,516,519,698,879,1145,567,781
"NDUFS5",5402,6095,4849,4331,7616,7482,10072,6504,7110
"MACF1",6015,5797,4299,4624,7267,9185,11958,5370,7148
"KIAA0754",108,114,80,89,185,182,278,123,122
"PPIEL",28,34,16,17,21,37,21,18,20
"PABPC4",696,725,531,346,566,576,887,471,607
"HPCAL4",21,40,22,39,63,102,63,44,19
"PPIE",1685,1702,1482,867,1587,1818,2516,1376,1620
"TRIT1",613,722,566,494,847,920,802,463,682
"MYCL",33,42,41,24,47,72,43,25,27
"CAP1",7293,7515,5508,5812,8877,10963,20515,10914,10666
"PPT1",14218,13650,11781,7281,12711,13900,19409,10687,13852
"RLF",1365,1725,1228,1305,1892,2689,2100,838,1587
"ZMPSTE24",3080,2090,1925,1683,2072,3083,5427,3110,3502
"COL9A2",45,23,30,15,25,19,26,16,27
"SMAP2",437,457,368,291,450,489,411,308,393
"ZFP69B",52,59,13,39,58,92,85,42,45
"ZFP69",56,43,48,26,55,31,78,45,55
"EXO5",73,105,58,44,77,64,153,68,91
"ZNF684",588,453,387,193,214,249,394,203,348
"RIMS3",106,123,112,62,136,187,179,104,84
"NFYC-AS1",32,25,34,23,26,37,20,16,12
"NFYC",232,210,201,89,134,166,203,156,167
"CTPS1",378,302,311,306,355,497,921,547,496
"SCMH1",271,255,209,97,233,201,277,101,199
"EDN2",8,8,5,14,19,28,138,33,34
"HIVEP3",23,14,12,32,35,33,99,51,32
"FOXJ3",2001,1961,1780,1551,2489,2766,2218,1199,1802
"RIMKLA",116,172,139,157,197,334,169,124,187
"ZMYND12",87,74,79,44,50,64,83,35,71
"PPCS",1601,1495,1386,955,1294,1554,1914,1061,1230
"CCDC30",621,477,406,320,388,558,475,253,384
"PPIH",303,327,344,167,359,380,422,267,298
"YBX1",1301,1329,1148,906,1760,1900,1847,1157,1411
"CLDN19",143,153,138,48,97,90,86,39,64
"LEPRE1",64,66,43,33,49,47,114,50,69
"C1orf50",37,44,60,25,39,43,37,29,33
"CCDC23",514,525,398,296,481,601,716,395,416
"ERMAP",271,224,196,99,162,144,213,128,157
"ZNF691",388,396,321,272,456,484,543,311,380
"SLC2A1",2014,3619,2135,1850,4329,4572,4014,2064,2988
"SLC2A1-AS1",271,364,310,185,341,364,240,129,215
"FAM183A",1878,1713,1257,761,1076,1303,1409,984,1281
"EBNA1BP2",525,567,478,408,708,804,1315,814,759
"WDR65",1236,859,679,418,378,678,773,551,732
"ELOVL1",368,326,277,221,331,451,1034,530,500
"MED8",1276,1520,1246,789,1531,1718,2034,1211,1397
"SZT2",41,39,34,25,34,27,76,20,32
"PTPRF",212,306,185,129,241,301,393,202,246
"KDM4A",228,238,208,101,216,162,259,146,249
"KDM4A-AS1",60,66,27,23,29,51,65,36,40
"ST3GAL3",51,57,35,23,32,42,32,28,31
"IPO13",432,500,345,156,299,320,334,225,350
"DPH2",104,98,50,32,91,109,166,98,88
"ATP6V0B",855,834,526,360,656,704,996,603,679
"B4GALT2",44,31,19,22,37,31,47,29,34
"SLC6A9",19,23,11,12,13,15,23,21,26
"DMAP1",65,72,38,21,34,31,63,46,59
"ERI3",321,276,223,112,207,240,428,247,322
"RNF220",62,80,42,32,60,84,87,44,55
"TMEM53",39,41,34,15,27,24,33,34,38
"C1orf228",56,53,37,26,30,78,60,36,44
"KIF2C",138,96,69,57,49,79,159,60,89
"RPS8",19132,19846,17678,11873,21825,20862,22042,12266,17414
"PLK3",22,27,17,16,31,33,34,34,34
"EIF2B3",1517,1648,1570,1218,1798,2065,2934,1769,1960
"HECTD3",81,79,42,44,73,91,142,78,87
"UROD",2417,2363,1721,1268,1968,2365,3987,2570,2582
"ZSWIM5",265,275,195,135,147,165,174,116,183
"TOE1",45,54,56,45,98,79,114,90,101
"TESK2",25,27,22,18,34,37,45,23,31
"CCDC163P",34,55,30,22,68,53,37,30,46
"MMACHC",62,39,41,23,43,49,58,43,40
"PRDX1",6856,7442,6826,4804,8499,8912,10530,6895,8331
"AKR1A1",926,835,569,322,630,580,970,676,776
"NASP",1294,1143,986,853,1391,1551,1684,907,1171
"GPBP1L1",5000,4926,4346,3262,5463,6301,6373,3992,5247
"RPS15AP10",87,67,47,59,86,131,106,52,78
"TMEM69",991,910,643,437,656,775,1230,737,880
"IPP",951,839,865,545,974,996,1287,796,1016
"MAST2",33,35,28,11,42,33,52,24,34
"PIK3R3",424,397,333,299,407,540,682,542,432
"POMGNT1",105,112,70,66,76,104,181,78,124
"RAD54L",41,30,41,25,33,21,58,51,52
"LRRC41",395,369,280,206,309,380,512,303,423
"UQCRH",6142,6182,5557,3682,6328,6198,5824,3708,4841
"NSUN4",735,530,642,353,706,770,804,475,582
"FAAH",34,29,26,15,16,9,32,8,17
"MKNK1",123,149,117,102,110,96,171,100,144
"ATPAF1",244,230,231,145,202,253,242,130,198
"EFCAB14",2201,2148,1854,1440,2084,2334,2868,1771,2144
"STIL",198,155,208,160,196,277,320,200,237
"CMPK1",1879,1827,1515,1208,1799,2001,2674,1504,2124
"SPATA6",1190,934,757,655,580,982,1218,532,813
"AGBL4",60,46,55,20,34,41,31,23,30
"BEND5",40,34,28,25,50,59,45,18,17
"ELAVL4",285,243,260,143,305,329,359,263,231
"DMRTA2",104,98,107,75,93,102,151,123,124
"FAF1",395,434,296,257,387,469,545,312,436
"RNF11",1065,960,831,747,1263,1454,1430,868,1100
"TTC39A",30,45,37,22,44,29,67,44,64
"EPS15",4122,3609,3688,2399,3725,4544,4763,2136,3173
"OSBPL9",2739,2567,2305,1844,2717,3158,3345,1862,2577
"NRD1",2295,2401,2018,1525,2376,2888,3258,1960,2436
"RAB3B",2964,2646,2332,1448,2231,2732,3606,2412,2766
"TXNDC12",1011,1023,758,494,866,837,1275,642,1046
"BTF3L4",5036,4599,4431,3820,5937,6737,7222,4452,5632
"ZFYVE9",112,115,155,63,132,169,83,76,111
"CC2D1B",84,82,69,62,97,84,117,84,119
"ORC1",33,22,11,10,27,25,66,43,47
"PRPF38A",2846,2347,2085,1257,1845,2441,3196,1752,2466
"ZCCHC11",2855,2800,2504,1951,2553,3767,3306,1396,2399
"GPX7",51,37,21,24,43,46,20,35,12
"COA7",387,371,354,257,393,424,641,370,435
"ZYG11B",1463,1273,1436,1188,1757,2152,1837,1119,1485
"ZYG11A",26,62,31,20,25,14,26,20,34
"ECHDC2",57,59,35,18,38,54,43,18,38
"SCP2",11182,10881,10219,8830,13677,14429,17072,9184,13268
"CPT2",242,247,218,134,266,276,305,203,262
"C1orf123",682,641,591,311,532,578,727,486,644
"MAGOH",763,578,605,480,732,812,1009,672,712
"LRP8",3295,6203,4764,3222,5154,5439,3404,1614,3340
"NDC1",1624,1459,1587,927,1365,1409,2010,1126,1375
"YIPF1",463,430,323,240,449,428,747,422,552
"HSPB11",1382,1186,1082,789,1047,1217,1515,901,1145
"LRRC42",216,197,180,133,224,290,308,187,188
"TMEM59",12625,12549,10055,5671,9451,9458,10629,6592,9240
"TCEANC2",916,869,826,603,823,803,1155,606,988
"CYB5RL",84,61,38,25,35,32,84,37,52
"MRPL37",211,231,226,120,286,296,358,220,242
"SSBP3",148,156,93,74,109,134,126,62,118
"SSBP3-AS1",83,113,97,57,108,106,71,47,86
"TTC4",53,33,31,19,53,36,62,34,32
"PARS2",286,251,158,82,143,222,236,144,242
"DHCR24",632,815,548,588,1130,1053,1248,876,968
"USP24",2776,2808,2456,1822,2693,3647,3573,1523,2466
"PPAP2B",1876,1451,1395,669,974,1140,1392,707,1019
"PRKAA2",5357,4572,3876,5453,4919,8298,8414,2842,6996
"C1orf168",2576,1973,1676,1736,1533,2010,1913,804,1812
"OMA1",1513,1448,1456,1074,1428,1585,1870,925,1523
"MYSM1",3214,3325,2861,2394,3081,4112,3800,1283,2811
"JUN",92,102,85,192,255,356,288,182,186
"FGGY",405,339,272,343,403,579,617,419,465
"HOOK1",725,686,674,577,588,853,640,254,542
"CYP2J2",19,19,28,13,39,28,13,16,41
"NFIA",6701,5040,4111,2656,4178,5037,7096,3804,5245
"LOC102724281",962,733,672,583,788,1124,1406,447,823
"RP5-833A20.1",43,33,39,34,52,41,56,30,40
"TM2D1",2679,2372,1941,1226,1986,2267,3024,1452,2363
"INADL",939,1105,871,700,1023,1177,1232,553,922
"USP1",805,837,721,613,821,945,992,426,786
"DOCK7",1527,1750,1486,1329,1760,2384,2920,1093,1810
"ANGPTL3",57,30,21,34,44,35,78,20,29
"RP11-230B22.1",23,22,14,11,33,25,40,30,22
"ATG4C",1740,1525,1350,1079,1596,2134,2323,1201,1563
"ALG6",1239,976,941,705,957,1203,1277,724,1282
"ITGB3BP",1179,1186,1083,872,1224,1452,1652,853,1446
"LOC102724319",27,22,20,8,22,48,45,13,36
"EFCAB7",2284,1916,1920,1417,1589,2000,2337,1108,1864
"DLEU2L",105,125,120,75,59,153,80,38,83
"PGM1",588,666,564,391,726,778,710,391,611
"ROR1",448,347,357,498,538,637,844,523,656
"RP11-24J23.2",46,38,38,26,27,68,78,30,60
"CACHD1",3636,2997,3036,1697,2476,2996,3719,2000,2659
"RAVER2",572,499,531,299,314,378,513,231,441
"JAK1",6296,5631,5381,4372,6370,7106,7345,4122,5316
"RP11-182I10.3",20,28,21,6,9,38,18,3,14
"MIR3671",26,30,13,15,49,30,22,11,21
"AK4",5293,5358,4750,4107,6000,7209,5118,2975,4392
"DNAJC6",327,369,270,237,506,520,375,213,317
"LEPROT",3329,2951,2422,2045,2857,3314,3760,2234,3162
"LEPR",2522,2679,2320,2332,2921,3619,3008,1268,2487
"PDE4B",818,848,720,607,1164,1197,1722,1004,1116
"SGIP1",593,430,409,399,562,802,737,315,396
"TCTEX1D1",588,478,423,314,294,488,370,307,396
"WDR78",2260,1539,1408,1238,1128,1986,1893,1033,1637
"MIER1",3562,3159,2878,2608,3355,4940,5116,2218,3550
"SLC35D1",895,796,855,680,927,1429,1456,930,980
"SERBP1",2352,2206,2015,1642,2385,3059,3481,1778,2581
"GADD45A",253,259,194,277,444,622,613,364,442
"GNG12",5981,5855,5076,6998,9676,11398,15697,8537,10418
"GNG12-AS1",46,59,41,66,66,52,93,48,93
"DIRAS3",166,139,119,380,403,670,941,448,460
"WLS",1689,2232,1447,1494,2164,2844,3145,2253,2593
"LOC101929986",605,632,471,540,726,922,1001,548,779
"RPE65",9888,7915,6573,7590,9953,10422,10397,6200,8738
"DEPDC1",167,156,83,50,103,78,152,74,106
"LRRC7",141,38,79,68,106,144,127,60,46
"LRRC40",2221,1899,1901,1777,2240,3012,3778,1537,2356
"SRSF11",5603,5605,4616,4020,5196,7059,7239,3123,5366
"ANKRD13C",916,812,653,731,1061,1250,1355,549,846
"HHLA3",471,484,402,298,491,473,611,362,462
"CTH",897,1152,1004,883,1685,1686,1455,860,1280
"PTGER3",9,23,14,10,23,18,51,23,35
"ZRANB2-AS1",493,426,374,315,281,546,447,168,327
"ZRANB2",16693,14595,15260,11575,16406,22360,20750,9304,15479
"MIR186",254,209,197,185,147,274,236,65,183
"ZRANB2-AS2",56,40,29,15,35,44,45,32,53
"NEGR1",645,475,436,289,573,909,858,428,486
