"","CPO_Mock_72hpi_S1","CPO_Mock_72hpi_S2","CPO_Mock_72hpi_S3","CPO_SARS-CoV-2_24hpi_S4","CPO_SARS-CoV-2_24hpi_S5","CPO_SARS-CoV-2_24hpi_S6","CPO_SARS-CoV-2_72hpi_S7","CPO_SARS-CoV-2_72hpi_S8","CPO_SARS-CoV-2_72hpi_S9"
"PROCR",69,102,40,62,118,117,298,155,222
"MMP24",43,51,30,49,58,103,157,67,72
"MMP24-AS1",23,51,24,19,40,37,41,20,22
"EIF6",2060,2059,1555,1736,2682,3120,4310,2539,2868
"UQCC1",686,617,500,413,671,839,1039,565,776
"GDF5",24,21,16,23,31,47,68,23,38
"CEP250",96,133,73,52,104,176,159,80,100
"ERGIC3",6781,7096,6151,3819,6739,6504,7672,5048,5967
"FER1L4",69,91,62,41,88,81,82,36,74
"SPAG4",28,58,48,15,10,30,28,16,31
"CPNE1",835,939,652,408,830,912,996,671,752
"RBM12",644,572,551,371,718,873,858,480,677
"NFS1",70,97,83,55,82,82,118,64,90
"ROMO1",1779,1858,1201,1078,1788,1931,2604,1737,1933
"RBM39",12638,12382,10589,7526,11740,14016,13951,7224,10808
"PHF20",1701,1477,1291,988,1654,1740,2453,1415,1883
"SCAND1",63,58,60,20,53,53,35,21,42
"LINC00657",1279,1277,1092,858,1481,1552,1460,938,1332
"EPB41L1",338,318,241,121,335,324,320,231,272
"AAR2",494,425,293,128,287,270,432,277,445
"DLGAP4",86,114,57,43,70,69,106,56,68
"TGIF2",342,410,319,230,352,412,443,199,337
"NDRG3",470,512,430,351,561,551,667,480,495
"DSN1",794,602,639,374,430,525,710,356,537
"SAMHD1",948,782,584,218,325,394,551,382,654
"RBL1",131,105,140,95,107,198,208,102,155
"MROH8",65,35,45,31,36,51,35,10,41
"RPN2",16556,16747,14759,11868,18639,19988,25080,14142,17813
"MANBAL",537,535,368,236,421,468,753,439,535
"BLCAP",689,670,534,393,643,754,841,449,522
"RP4-640H8.2",99,110,108,78,93,115,119,80,99
"CTNNBL1",1869,1874,1656,1154,1890,2151,2470,1585,1838
"TTI1",340,407,281,191,345,540,533,309,350
"RPRD1B",219,244,197,176,233,307,213,178,262
"SNHG17",160,205,152,106,218,201,266,167,196
"SNHG11",36,33,31,14,31,43,52,18,18
"RALGAPB",2430,2061,2092,1660,2186,2807,3220,1999,2501
"ACTR5",21,23,28,10,17,17,34,18,28
"DHX35",199,200,155,97,150,213,265,143,210
"MAFB",24,30,20,25,34,38,73,28,23
"TOP1",2745,2323,2243,1964,2747,3304,4122,2224,2694
"RP1-1J6.2",55,52,32,34,53,69,34,13,28
"PLCG1",282,315,173,119,246,303,390,274,320
"ZHX3",179,126,139,60,104,131,237,91,127
"CHD6",1132,1144,878,575,1080,1089,1284,670,1022
"PTPRT",65,96,44,35,63,100,81,63,42
"SRSF6",15025,12284,12096,9191,12198,16407,19282,10011,13183
"L3MBTL1",160,160,157,88,104,163,124,67,136
"SGK2",37,34,19,8,15,35,27,6,10
"IFT52",2262,2081,1810,1098,1829,2237,2641,1593,2004
"OSER1",2291,2451,1980,1700,4220,4050,2959,1680,2362
"OSER1-AS1",243,348,265,113,307,283,291,153,180
"GDAP1L1",18,31,17,9,30,48,43,26,20
"TTPAL",513,494,418,405,591,628,1056,549,716
"SERINC3",2317,2481,2234,1710,3176,3494,3450,2031,2401
"PKIG",112,119,71,59,71,108,164,91,82
"ADA",26,30,22,18,32,34,82,32,33
"RP11-445H22.3",36,43,36,28,45,42,42,15,26
"KCNK15",36,31,23,19,23,31,25,11,34
"YWHAB",3756,3059,2838,3014,3840,4850,7565,4443,4579
"PABPC1L",43,44,27,11,25,31,49,42,21
"TOMM34",602,629,432,354,442,581,817,510,610
"STK4",1199,1086,1042,831,1307,1266,1727,1031,1439
"SDC4",62,152,74,56,128,132,164,79,105
"SYS1",1316,1192,938,472,784,965,1383,862,1016
"PIGT",881,834,431,236,455,427,1004,561,737
"WFDC2",48,65,50,18,39,55,77,24,48
"WFDC3",70,61,51,38,58,62,84,36,37
"DNTTIP1",118,101,75,73,151,164,175,99,106
"SNX21",40,44,31,33,32,36,46,32,46
"ACOT8",29,27,23,13,16,37,35,20,24
"ZSWIM3",72,47,43,40,42,47,62,31,55
"ZSWIM1",105,108,97,69,110,107,123,87,108
"CTSA",176,188,112,97,148,150,249,155,190
"PLTP",962,1043,586,294,581,600,846,538,649
"PCIF1",88,121,73,49,76,99,136,61,93
"ZNF335",28,26,13,12,27,33,45,20,42
"NCOA5",285,171,148,137,178,240,385,174,224
"SLC35C2",95,101,69,42,57,88,109,71,74
"ELMO2",1810,1751,1638,933,1611,1768,2226,1355,1772
"ZNF334",867,704,718,475,604,886,888,437,673
"SLC13A3",90,89,119,18,35,39,70,42,44
"TP53RK",116,83,132,92,80,142,180,84,126
"SLC2A10",111,98,78,64,66,97,126,41,71
"ZMYND8",1686,1810,1636,946,1694,1851,1778,1060,1463
"NCOA3",1210,1253,1160,924,1592,1827,1484,899,1118
"SULF2",448,473,332,225,454,527,774,488,545
"PREX1",40,28,24,16,20,27,24,26,39
"ARFGEF2",3216,3002,2802,2251,3254,3602,3505,1829,2605
"CSE1L",8903,7977,7317,4622,6927,7728,11651,6017,8818
"STAU1",1432,1228,980,556,1005,1384,1373,750,975
"DDX27",751,638,411,328,577,638,936,523,700
"ZNFX1",1025,934,795,410,873,805,1093,614,908
"ZFAS1",2378,2733,2138,1298,2928,2770,2527,1515,2034
"KCNB1",253,248,255,101,180,160,157,142,118
"B4GALT5",214,192,191,185,284,407,467,218,262
"SLC9A8",48,67,48,34,51,60,55,38,60
"SPATA2",29,35,23,26,22,42,56,29,38
"RNF114",1064,1183,817,639,1257,1313,1499,1040,1164
"UBE2V1",120,151,130,96,154,165,183,100,139
"TMEM189",36,53,30,33,52,64,60,45,57
"CEBPB",18,20,19,15,32,38,22,11,25
"PTPN1",80,85,51,44,72,105,77,71,63
"PARD6B",9394,7182,7532,6676,7643,9613,7767,4808,6842
"BCAS4",110,76,67,43,54,110,78,40,41
"ADNP",3350,3235,2938,2272,3480,3987,4517,2234,3066
"RP5-914P20.5",16,15,15,23,15,32,44,14,21
"DPM1",929,968,749,689,1164,1372,1268,801,1016
"MOCS3",112,48,55,36,71,71,92,61,82
"NFATC2",399,264,198,223,159,220,323,157,275
"ATP9A",1239,1294,1041,837,1636,1747,2367,1354,1617
"ZFP64",78,94,64,34,66,83,105,68,96
"TSHZ2",1979,1847,1456,1219,1885,2690,3154,1459,2100
"LOC728805",32,25,20,10,20,29,55,21,37
"ZNF217",485,536,456,409,606,870,881,530,744
"BCAS1",84,73,85,78,110,146,113,126,137
"PFDN4",2116,1982,1835,1690,2518,2711,3259,1689,2201
"DOK5",1984,1889,1612,1203,1716,2097,2697,1686,1857
"FAM210B",486,420,425,339,471,470,733,439,512
"AURKA",212,216,208,112,251,129,286,200,237
"CSTF1",1581,1592,1407,1023,1766,1800,2332,1387,1634
"RTFDC1",3433,3385,2995,2182,4177,4203,4664,2753,3654
"BMP7",1370,1390,1142,755,1325,1430,1362,925,1186
"RAE1",2271,2466,2141,1847,3204,3429,3912,2413,2711
"MTRNR2L3",78,78,35,43,51,76,68,30,52
"PMEPA1",35,22,12,53,72,125,230,120,82
"PPP4R1L",93,167,106,74,165,202,222,118,160
"RAB22A",1354,1336,1184,1104,1764,2024,2146,1312,1308
"VAPB",769,645,643,549,719,904,1044,639,739
"STX16",1145,1103,858,543,839,963,1242,574,847
"GNAS",6249,5896,5156,3864,7069,7608,8302,4737,5838
"NELFCD",323,367,242,160,237,330,443,272,315
"TUBB1",71,71,62,59,93,56,104,59,70
"ATP5E",850,870,554,664,899,895,1073,652,799
"SLMO2",2085,1690,1754,1432,1826,2109,3606,1535,2148
"SYCP2",88,61,56,47,66,123,96,32,28
"FAM217B",963,1061,947,549,912,1121,1138,546,853
"PPP1R3D",59,46,77,31,49,55,69,44,63
"C20orf197",31,17,20,11,15,48,7,18,14
"CDH4",54,59,61,24,52,63,75,42,30
"TAF4",37,45,34,22,20,42,49,23,45
"LSM14B",57,57,47,48,65,78,86,23,47
"PSMA7",1271,1145,888,681,1149,1356,2017,1116,1339
"SS18L1",438,364,409,310,416,579,548,305,376
"MTG2",50,56,53,21,32,45,86,45,40
"OSBPL2",426,413,357,225,399,578,547,290,372
"ADRM1",61,66,47,38,49,65,83,52,68
"LAMA5",63,65,57,48,66,45,79,43,63
